A -- 1-8,Manufacturer,Series,Product Type,Voltage Rating,Current Rating,D -- 1-1,Enclosure Type,E -- 1-3,Model,F -- 1-3,Programmer
160AA02,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,2.3,N,Open (IP20),SF1,Analog Signal Follower,B1,Ready/Fault Indicating Panel
160AA03,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,3,L,Low Profile,PS1,Preset Speed,P1,Program Keypad Module
160AA04,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,4.5,P,Chassis Mount (external heatsink),,,,
160AA08,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,8,R,Chassis Mount Replacement,,,,
160AA12,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,12,,,,,,
160AA18,Allen Bradley,SSC Variable Speed Drive,Drive,200-240V,18,,,,,,
160BA01,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,1.2,,,,,,
160BA02,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,1.7,,,,,,
160BA03,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,2.3,,,,,,
160BA04,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,4,,,,,,
160BA06,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,6,,,,,,
160BA10,Allen Bradley,SSC Variable Speed Drive,Drive,380-460V,10.5,,,,,,
160SAA02,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,2.3,,,,,,
160SAA03,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,3,,,,,,
160SAA04,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,4.5,,,,,,
160SAA08,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,8,,,,,,
160SAA12,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,12,,,,,,
160SAA18,Allen Bradley,SSC Single Pahse Variable Speed Drive,Drive,200-240V,18,,,,,,
