A -- 1-3,Series,C -- 4-4,Manufacturer,Product Type,Terminal Type,C -- 5-7,Contactor Amperage,D -- 8-9,Control Voltage,Control Frequency,E -- 10-12,Auxiliary Contacts,Main Poles,F -- 12-13,Options
100,MCS-C Non-Reversing Contactor,C,Allen Bradley,Compact Frame IEC Contactor,Standard,09,9A,R,12V AC 50Hz,50Hz,00,0 N.O. 0 N.C.,3,L,With Built-in Lugs
104,MCS-C Reversing Contactor,CR,Allen Bradley,Compact Frame IEC Contactor,Screwless,12,12A,K,24V AC 50Hz,50Hz,01,0 N.O. 1 N.C.,3,BC,With gold-plated bifurcated auxiliary contacts
100S,MCS-C Non-Reversing Safety Contactor,,,,,16,16A,V,"32V AC 50Hz, 36V AC 60Hz","50, 60Hz",10,1 N.O. 0 N.C.,3,C,With cross-stamped front-mount auxiliary contacts
104S,MCS-C Reversing Safety Contactor,,,,,23,23A,W,36V AC 50Hz,50Hz,11,1 N.O. 1 N.C.,3,,
100Q,MCS-C Capacitor Switching Contactor,,,,,25,25A,X,"42V AC 50Hz, 48V AC 60Hz","50, 60Hz",22,2 N.O. 2 N.C.,3,,
,,,,,,26,26A,Y,48V AC 50Hz,50Hz,20,2 N.O. 0 N.C.,3,,
,,,,,,30,30A,KP,"100V AC 50Hz, 100-110V AC 60Hz","50, 60Hz",02,0 N.O. 2 N.C.,3,,
,,,,,,32,32A,D,"110V AC 50Hz, 120V AC 60Hz","50, 60Hz",400,0 N.O. 0 N.C.,4 N.O. 0 N.C.,,
,,,,,,37,37A,P,120V AC 50Hz,50Hz,200,0 N.O. 0 N.C.,2 N.O. 2 N.C.,,
,,,,,,38,38A,S,127V AC 50Hz,50Hz,300,0 N.O. 0 N.C.,3 N.O. 1 N.C.,,
,,,,,,40,40A,KG,"200V AC 50Hz, 200-220V AC 60Hz","50, 60Hz",05,0 N.O. 5 N.C.,3,,
,,,,,,43,43A,L,"200-220V AC 50Hz, 208-240V AC 60Hz","50, 60Hz",14,1 N.O. 4 N.C.,3,,
,,,,,,52,52A,Q,12V AC 60Hz,60Hz,304,0 N.O. 4 N.C.,3 N.O. 1 N.C.,,
,,,,,,55,55A,J,24V AC 60Hz,60Hz,404,0 N.O. 4 N.C.,4 N.O. 0 N.C.,,
,,,,,,56,56A,H,208V AC 60Hz,60Hz,012,0 N.O. 6 N.C.,3,,
,,,,,,60,60A,KJ,24V AC 50/60Hz,50/60Hz,210,1 N.O. 5 N.C.,3,,
,,,,,,65,65A,KY,48V AC 50/60Hz,50/60Hz,010,0 N.O. 5 N.C.,3,,
,,,,,,72,72A,KD,110V AC 50/60Hz,50/60Hz,,,,,
,,,,,,80,80A,KL,200-230V 50/60Hz,50/60Hz,,,,,
,,,,,,85,85A,F,220-230V AC 50Hz,50Hz,,,,,
,,,,,,90,90A,VA,230-240V AC 50Hz,50Hz,,,,,
,,,,,,96,96A,T,"240V AC 50Hz, 277V AC 60Hz","50, 60Hz",,,,,
,,,,,,97,97A,N,"380-400V 50Hz, 440V 60Hz","50, 60Hz",,,,,
,,,,,,116,116 A,G,400-415V 50Hz,50Hz,,,,,
,,,,,,146,146 A,B,"440V 50Hz, 480V 60Hz","50, 60Hz",,,,,
,,,,,,190,190 A,M,500V 50Hz,50Hz,,,,,
,,,,,,205,205 A,C,"550V 50Hz, 600V 60Hz","50, 60Hz",,,,,
,,,,,,265,265 A,A,240V 60Hz,60Hz,,,,,
,,,,,,305,305 A,I,347V 60Hz,60Hz,,,,,
,,,,,,370,370 A,E,380V 60Hz,60Hz,,,,,
,,,,,,400,400 A,KF,230V 50/60Hz,50/60Hz,,,,,
,,,,,,460,460 A,KA,240V 50/60Hz,50/60Hz,,,,,
,,,,,,580,580 A,KN,400V 50/60Hz,50/60Hz,,,,,
,,,,,,750,750 A,KB,440V 50/60Hz,50/60Hz,,,,,
,,,,,,860,860 A,ED,110-125V DC,,,,,,
,,,,,,1060,1060 A,EA,220-250V DC,,,,,,
,,,,,,1260,1260 A (AC-1 only),DG,72V DC,,,,,,
,,,,,,2050,2050 A (AC-1 only),DE,80V DC,,,,,,
,,,,,,2650,2650 A (AC-1 only),DD,110V DC,,,,,,
,,,,,,,,DP,115V DC,,,,,,
,,,,,,,,DS,125V DC,,,,,,
,,,,,,,,DA,220V DC,,,,,,
,,,,,,,,DF,230V DC,,,,,,
,,,,,,,,DT,250V DC,,,,,,
,,,,,,,,EQ,12V DC,,,,,,
,,,,,,,,EJ,24V DC,,,,,,
,,,,,,,,QJ,24V DC,,,,,,
,,,,,,,,EW,36-48V DC,,,,,,
,,,,,,,,EY,48-72V DC,,,,,,
,,,,,,,,DR,9V DC,,,,,,
,,,,,,,,DQ,12V DC,,,,,,
,,,,,,,,DJ,24V DC,,,,,,
,,,,,,,,DW,36V DC,,,,,,
,,,,,,,,DY,48V DC,,,,,,
,,,,,,,,DZ,60V DC,,,,,,
,,,,,,,,DB,64V DC,,,,,,
